name,cycle,acc_noGM,acc_GM
Shu | NaFeHCF,100,0.0,0.59
Shu | NaMnHCF,12,0.0,1.0
Shu | NaMnHCF,24,0.0,1.0
Shu | NaMnHCF,36,0.0,0.9475
Shu | NaMnHCF,48,0.0,0.9425
Shu | NaMnHCF,60,0.0,0.96
Shu | NaMnHCF,72,0.0,0.95
Shu | NaMnHCF,84,0.0,0.9
Shu | NaMnHCF,96,0.0,1.0
Shu | NaMnHCF,100,0.0,1.0
Shu | NaNiHCF,12,0.415,1.0
Shu | NaNiHCF,24,0.4925,0.935
Shu | NaNiHCF,36,0.5775,0.95
Shu | NaNiHCF,48,0.7125,0.9525
Shu | NaNiHCF,60,0.8825,0.9875
Shu | NaNiHCF,72,0.9775,0.9975
Shu | NaNiHCF,84,0.9875,0.9975
Shu | NaNiHCF,96,0.7075,0.77
Shu | NaNiHCF,100,0.4175,1.0
