trajectory,method,cycle,true_RUL,pred_RUL,RUL_lo_cal90,RUL_hi_cal90,cov90
Hu pH 7 | KNiHCF,Wiener,56,7.555911643,8.751124114,,,100
Hu pH 7 | KNiHCF,Weibull,56,7.555911643,4.565277474,,,100
Hu pH 7 | KNiHCF,Wiener,63,0.555911643,1.590580249,,,100
Hu pH 7 | KNiHCF,Weibull,63,0.555911643,0,,,100
Hu pH 7 | NaMnHCF,Wiener,14,45.29006408,29.93939804,,,100
Hu pH 7 | NaMnHCF,Weibull,14,45.29006408,30.39301491,,,100
Hu pH 7 | NaMnHCF,Wiener,28,31.29006408,10.19479803,,,100
Hu pH 7 | NaMnHCF,Weibull,28,31.29006408,9.407231993,,,100
Hu pH 7 | NaMnHCF,Wiener,42,17.29006408,1.089827923,,,100
Hu pH 7 | NaMnHCF,Weibull,42,17.29006408,0,,,100
Hu pH 7 | NaMnHCF,Wiener,56,3.290064077,0,,,100
Hu pH 7 | NaMnHCF,Weibull,56,3.290064077,0,,,100
Hu pH 7 | NaMnHCF,Wiener,59,0.290064077,0,,,100
Hu pH 7 | NaMnHCF,Weibull,59,0.290064077,0,,,100
Hu pH 9 | NaMnHCF,Wiener,14,68.13767025,58.46315968,,,100
Hu pH 9 | NaMnHCF,Weibull,14,68.13767025,87.67854428,,,100
Hu pH 9 | NaMnHCF,Wiener,28,54.13767025,27.13911826,,,100
Hu pH 9 | NaMnHCF,Weibull,28,54.13767025,31.47056784,,,100
Hu pH 9 | NaMnHCF,Wiener,42,40.13767025,19.66191222,,,100
Hu pH 9 | NaMnHCF,Weibull,42,40.13767025,19.76835516,,,100
Hu pH 9 | NaMnHCF,Wiener,56,26.13767025,14.37416571,,,100
Hu pH 9 | NaMnHCF,Weibull,56,26.13767025,12.2483318,,,100
Hu pH 9 | NaMnHCF,Wiener,70,12.13767025,7.295296863,,,100
Hu pH 9 | NaMnHCF,Weibull,70,12.13767025,3.894055389,,,100
Hu pH 9 | NaMnHCF,Wiener,82,0.137670246,0,,,100
Hu pH 9 | NaMnHCF,Weibull,82,0.137670246,0,,,100
KCl | NaCoHCF,Wiener,14,85.21920592,57.81663836,,,75
KCl | NaCoHCF,Weibull,14,85.21920592,161.9537826,,,75
KCl | NaCoHCF,Wiener,28,71.21920592,64.11102388,,,75
KCl | NaCoHCF,Weibull,28,71.21920592,119.5991667,,,75
KCl | NaCoHCF,Wiener,42,57.21920592,80.62433336,,,75
KCl | NaCoHCF,Weibull,42,57.21920592,155.4165155,,,75
KCl | NaCoHCF,Wiener,56,43.21920592,62.96496598,,,75
KCl | NaCoHCF,Weibull,56,43.21920592,119.7867668,,,75
KCl | NaCoHCF,Wiener,70,29.21920592,42.87273621,,,75
KCl | NaCoHCF,Weibull,70,29.21920592,82.59589317,,,75
KCl | NaCoHCF,Wiener,84,15.21920592,20.92845346,,,75
KCl | NaCoHCF,Weibull,84,15.21920592,47.80880258,,,75
KCl | NaCoHCF,Wiener,98,1.219205916,3.842172183,,,75
KCl | NaCoHCF,Weibull,98,1.219205916,22.51383318,,,75
KCl | NaCoHCF,Wiener,99,0.219205916,2.73262283,,,75
KCl | NaCoHCF,Weibull,99,0.219205916,20.9325873,,,75
KHCO3 | KNiHCF,Wiener,14,49.55591164,99.53215481,,,100
KHCO3 | KNiHCF,Weibull,14,49.55591164,53.09813565,,,100
KHCO3 | KNiHCF,Wiener,28,35.55591164,53.52731464,,,100
KHCO3 | KNiHCF,Weibull,28,35.55591164,39.35423156,,,100
KHCO3 | KNiHCF,Wiener,42,21.55591164,23.66641116,,,100
KHCO3 | KNiHCF,Weibull,42,21.55591164,17.84315191,,,100
KHCO3 | KNiHCF,Wiener,56,7.555911643,8.751124114,,,100
KHCO3 | KNiHCF,Weibull,56,7.555911643,4.565277474,,,100
KHCO3 | KNiHCF,Wiener,63,0.555911643,1.590580249,,,100
KHCO3 | KNiHCF,Weibull,63,0.555911643,0,,,100
KHCO3 | NaMnHCF,Wiener,14,59.3442082,123.2124806,,,67
KHCO3 | NaMnHCF,Weibull,14,59.3442082,37.61543918,,,67
KHCO3 | NaMnHCF,Wiener,28,45.3442082,72.23236913,,,67
KHCO3 | NaMnHCF,Weibull,28,45.3442082,33.61854948,,,67
KHCO3 | NaMnHCF,Wiener,42,31.3442082,57.10302287,,,67
KHCO3 | NaMnHCF,Weibull,42,31.3442082,28.26450106,,,67
KHCO3 | NaMnHCF,Wiener,56,17.3442082,41.90034871,,,67
KHCO3 | NaMnHCF,Weibull,56,17.3442082,20.57623946,,,67
KHCO3 | NaMnHCF,Wiener,70,3.344208196,18.41343199,,,67
KHCO3 | NaMnHCF,Weibull,70,3.344208196,7.74481205,,,67
KHCO3 | NaMnHCF,Wiener,73,0.344208196,12.71226001,,,67
KHCO3 | NaMnHCF,Weibull,73,0.344208196,4.363919674,,,67
NH4Cl | NaCoHCF,Wiener,14,56.32535835,562.6028668,,,100
NH4Cl | NaCoHCF,Weibull,14,56.32535835,562.6028668,,,100
NH4Cl | NaCoHCF,Wiener,28,42.32535835,562.6028668,,,100
NH4Cl | NaCoHCF,Weibull,28,42.32535835,562.6028668,,,100
NH4Cl | NaCoHCF,Wiener,42,28.32535835,562.6028668,,,100
NH4Cl | NaCoHCF,Weibull,42,28.32535835,562.6028668,,,100
NH4Cl | NaCoHCF,Wiener,56,14.32535835,150.7570882,,,100
NH4Cl | NaCoHCF,Weibull,56,14.32535835,562.6028668,,,100
NH4Cl | NaCoHCF,Wiener,70,0.325358353,32.01363794,,,100
NH4Cl | NaCoHCF,Weibull,70,0.325358353,562.6028668,,,100
NaCl | NaCoHCF,Wiener,14,43.46605503,56.23168239,,,100
NaCl | NaCoHCF,Weibull,14,43.46605503,27.06532199,,,100
NaCl | NaCoHCF,Wiener,28,29.46605503,22.81222191,,,100
NaCl | NaCoHCF,Weibull,28,29.46605503,13.02053305,,,100
NaCl | NaCoHCF,Wiener,42,15.46605503,12.12499692,,,100
NaCl | NaCoHCF,Weibull,42,15.46605503,4.32706604,,,100
NaCl | NaCoHCF,Wiener,56,1.466055033,1.813029105,,,100
NaCl | NaCoHCF,Weibull,56,1.466055033,0,,,100
NaCl | NaCoHCF,Wiener,57,0.466055033,0.797471577,,,100
NaCl | NaCoHCF,Weibull,57,0.466055033,0,,,100
Shu | NaCoHCF,Wiener,14,71.70904688,16.33355251,,,86
Shu | NaCoHCF,Weibull,14,71.70904688,21.70488629,,,86
Shu | NaCoHCF,Wiener,28,57.70904688,6.505165832,,,86
Shu | NaCoHCF,Weibull,28,57.70904688,9.02900799,,,86
Shu | NaCoHCF,Wiener,42,43.70904688,1.1712946,,,86
Shu | NaCoHCF,Weibull,42,43.70904688,1.314423789,,,86
Shu | NaCoHCF,Wiener,56,29.70904688,2.601473571,,,86
Shu | NaCoHCF,Weibull,56,29.70904688,0,,,86
Shu | NaCoHCF,Wiener,70,15.70904688,0,,,86
Shu | NaCoHCF,Weibull,70,15.70904688,0,,,86
Shu | NaCoHCF,Wiener,84,1.709046884,0,,,86
Shu | NaCoHCF,Weibull,84,1.709046884,0,,,86
Shu | NaCoHCF,Wiener,85,0.709046884,0,,,86
Shu | NaCoHCF,Weibull,85,0.709046884,0,,,86
Shu | NaNiHCF,Wiener,14,64.15238524,475.0532284,,,100
Shu | NaNiHCF,Weibull,14,64.15238524,625.2190819,,,100
Shu | NaNiHCF,Wiener,28,50.15238524,160.9506114,,,100
Shu | NaNiHCF,Weibull,28,50.15238524,131.9522619,,,100
Shu | NaNiHCF,Wiener,42,36.15238524,74.23645397,,,100
Shu | NaNiHCF,Weibull,42,36.15238524,53.06017087,,,100
Shu | NaNiHCF,Wiener,56,22.15238524,36.60365152,,,100
Shu | NaNiHCF,Weibull,56,22.15238524,25.97141033,,,100
Shu | NaNiHCF,Wiener,70,8.15238524,14.71634355,,,100
Shu | NaNiHCF,Weibull,70,8.15238524,8.802709207,,,100
Shu | NaNiHCF,Wiener,78,0.15238524,4.264964843,,,100
Shu | NaNiHCF,Weibull,78,0.15238524,0.420871425,,,100
