trajectory,method,cycle,true_RUL,pred_RUL,RUL_lo_cal90,RUL_hi_cal90
Hu pH 7 | NaMnHCF,Lin,100,0,0.0,,
Hu pH 7 | NaMnHCF,Log-Bayes,12,88,1525.796988,,
Hu pH 7 | NaMnHCF,Log-Bayes,24,76,416.2220004,,
Hu pH 7 | NaMnHCF,Log-Bayes,36,64,279.5613962,,
Hu pH 7 | NaMnHCF,Log-Bayes,48,52,233.53559,,
Hu pH 7 | NaMnHCF,Log-Bayes,60,40,220.9732063,,
Hu pH 7 | NaMnHCF,Log-Bayes,72,28,152.1007535,,
Hu pH 7 | NaMnHCF,Log-Bayes,84,16,106.4223534,,
Hu pH 7 | NaMnHCF,Log-Bayes,96,4,66.88771679,,
Hu pH 7 | NaMnHCF,Log-Bayes,100,0,55.0,,
Hu pH 7 | NaNiHCF,SPI+CBU (ours),12,88,81.0,53.15763323,108.8423668
Hu pH 7 | NaNiHCF,SPI+CBU (ours),24,76,66.5,37.01163386,95.98836614
Hu pH 7 | NaNiHCF,SPI+CBU (ours),36,64,55.0,19.36631527,90.63368473
Hu pH 7 | NaNiHCF,SPI+CBU (ours),48,52,44.96049738,19.54701369,70.37398107
Hu pH 7 | NaNiHCF,SPI+CBU (ours),60,40,33.72782602,11.65187487,55.80377716
Hu pH 7 | NaNiHCF,SPI+CBU (ours),72,28,22.0,0.486207664,43.51379234
Hu pH 7 | NaNiHCF,SPI+CBU (ours),84,16,10.54166298,0.0,30.04353604
Hu pH 7 | NaNiHCF,SPI+CBU (ours),96,4,3.575248158,0.0,16.58556404
Hu pH 7 | NaNiHCF,SPI+CBU (ours),100,0,9.254904873,0.0,32.15991686
Hu pH 7 | NaNiHCF,SPI+TBU,12,88,31.04893098,,
Hu pH 7 | NaNiHCF,SPI+TBU,24,76,18.67676068,,
Hu pH 7 | NaNiHCF,SPI+TBU,36,64,19.15682061,,
Hu pH 7 | NaNiHCF,SPI+TBU,48,52,19.48234967,,
Hu pH 7 | NaNiHCF,SPI+TBU,60,40,23.0,,
Hu pH 7 | NaNiHCF,SPI+TBU,72,28,25.86829236,,
Hu pH 7 | NaNiHCF,SPI+TBU,84,16,21.78747494,,
Hu pH 7 | NaNiHCF,SPI+TBU,96,4,6.595832781,,
Hu pH 7 | NaNiHCF,SPI+TBU,100,0,3.974026849,,
Hu pH 7 | NaNiHCF,Lin,12,88,62.21502241,,
Hu pH 7 | NaNiHCF,Lin,24,76,27.0,,
Hu pH 7 | NaNiHCF,Lin,36,64,13.86271571,,
Hu pH 7 | NaNiHCF,Lin,48,52,6.182717149,,
Hu pH 7 | NaNiHCF,Lin,60,40,2.430664228,,
Hu pH 7 | NaNiHCF,Lin,72,28,0.0,,
Hu pH 7 | NaNiHCF,Lin,84,16,0.0,,
Hu pH 7 | NaNiHCF,Lin,96,4,0.0,,
Hu pH 7 | NaNiHCF,Lin,100,0,0.0,,
Hu pH 7 | NaNiHCF,Log-Bayes,12,88,40.06383132,,
Hu pH 7 | NaNiHCF,Log-Bayes,24,76,22.0,,
Hu pH 7 | NaNiHCF,Log-Bayes,36,64,22.94747161,,
Hu pH 7 | NaNiHCF,Log-Bayes,48,52,23.29406655,,
