panel,x,acc_noGM_mean,acc_noGM_sd,acc_GM_mean,acc_GM_sd
Task 3 (KCoHCF 87%),37.4,0.0,0.0,0.75,0.3535533905932738
Task 3 (KCoHCF 87%),37.6,0.0,,0.57,
Task 3 (KCoHCF 87%),41.6,0.0,0.0,0.771,0.3238549057834387
Task 3 (KCoHCF 87%),41.7,0.0,,1.0,
Task 3 (KCoHCF 87%),45.7,0.0,,0.002,
Task 3 (KCoHCF 87%),45.8,0.0,,1.0,
Task 3 (KCoHCF 87%),45.9,0.0,,0.592,
Task 3 (KCoHCF 87%),49.9,0.0,0.0,0.264,0.3733523804664971
Task 3 (KCoHCF 87%),50.1,0.0,,0.672,
Task 3 (KCoHCF 87%),54.1,0.0,0.0,0.2685,0.3768879143724298
Task 3 (KCoHCF 87%),54.3,0.0,,0.645,
Task 3 (KCoHCF 87%),58.2,0.0,0.0,0.8049999999999999,0.2757716446627535
Task 3 (KCoHCF 87%),58.4,0.0,,0.69,
Task 3 (KCoHCF 87%),62.4,0.0,0.0,0.6459999999999999,0.0763675323681471
Task 3 (KCoHCF 87%),62.6,0.132,,0.725,
Task 3 (KCoHCF 87%),66.5,0.0,,0.648,
Task 3 (KCoHCF 87%),66.6,0.0,,0.77,
Task 3 (KCoHCF 87%),66.8,0.32,,0.762,
Task 3 (KCoHCF 87%),70.7,0.059,0.0834386001800126,0.738,0.0
Task 3 (KCoHCF 87%),71.0,0.28,,0.765,
Task 3 (KCoHCF 87%),74.9,0.234,0.3309259735953042,0.7515000000000001,0.0190918830920368
Task 3 (KCoHCF 87%),75.1,0.22,,0.732,
Task 3 (KCoHCF 87%),79.0,0.291,0.4115361466505706,0.7585,0.0049497474683058
Task 3 (KCoHCF 87%),79.3,0.168,,0.77,
Task 3 (KCoHCF 87%),83.2,0.2525,0.2722361107568208,0.755,0.0098994949366116
Task 3 (KCoHCF 87%),83.5,0.148,,0.728,
Task 3 (KCoHCF 87%),87.3,0.242,,0.748,
Task 3 (KCoHCF 87%),87.4,0.265,,0.682,
Task 3 (KCoHCF 87%),87.7,0.145,,0.722,
Task 3 (KCoHCF 87%),91.5,0.269,0.1400071426749364,0.7415,0.0756604255869606
Task 3 (KCoHCF 87%),91.8,0.17,,0.718,
Task 3 (KCoHCF 87%),95.6,0.388,,0.795,
Task 3 (KCoHCF 87%),95.7,0.158,,1.0,
Task 3 (KCoHCF 87%),96.0,0.165,,0.545,
Task 3 (KCoHCF 87%),99.8,0.2585,0.3160767311903867,0.831,0.239002092041053
Task 3 (KCoHCF 87%),100.0,0.1733333333333333,0.2179388293382648,0.5733333333333334,0.5158811232574161
Task 3 (KCoHCF 90%),4.1,1.0,,1.0,
Task 3 (KCoHCF 90%),4.2,0.514,0.684479364188578,0.999,0.001414213562373
Task 3 (KCoHCF 90%),8.3,0.296,0.4157787873376899,1.0,0.0
Task 3 (KCoHCF 90%),8.4,1.0,,0.998,
Task 3 (KCoHCF 90%),12.4,0.115,,1.0,
Task 3 (KCoHCF 90%),12.5,0.4975,0.7035712472806148,0.911,0.1258650070512054
Task 3 (KCoHCF 90%),16.6,0.2,,1.0,
Task 3 (KCoHCF 90%),16.7,0.48,0.6675088014401008,0.945,0.0282842712474618
Task 3 (KCoHCF 90%),20.7,0.825,,0.75,
Task 3 (KCoHCF 90%),20.8,0.115,,0.922,
Task 3 (KCoHCF 90%),20.9,0.602,,0.78,
Task 3 (KCoHCF 90%),24.8,0.76,,0.968,
Task 3 (KCoHCF 90%),25.0,0.75,,0.96,
Task 3 (KCoHCF 90%),25.1,0.07,,0.57,
Task 3 (KCoHCF 90%),29.0,0.0,,0.99,
Task 3 (KCoHCF 90%),29.2,0.4935,0.6809438302826453,0.8374999999999999,0.1944543648263005
Task 3 (KCoHCF 90%),33.1,0.0,,0.995,
Task 3 (KCoHCF 90%),33.3,0.99,,0.982,
Task 3 (KCoHCF 90%),33.4,0.0,,0.738,
Task 3 (KCoHCF 90%),37.2,0.0,,1.0,
Task 3 (KCoHCF 90%),37.5,0.952,,0.995,
Task 3 (KCoHCF 90%),37.6,0.008,,0.875,
Task 3 (KCoHCF 90%),41.4,0.0,,1.0,
Task 3 (KCoHCF 90%),41.7,0.332,,1.0,
Task 3 (KCoHCF 90%),41.8,0.507,,0.955,
Task 3 (KCoHCF 90%),45.5,0.0,,1.0,
Task 3 (KCoHCF 90%),45.9,0.491,0.6943788591251897,1.0,0.0
Task 3 (KCoHCF 90%),49.7,0.02,,0.98,
