trajectory,method,cycle,actual_retention,pred_retention
Shu | NaNiHCF,Weibull,14,99.39497769,99.38648164
Shu | NaNiHCF,Wiener,28,96.59603769,97.47518329
Shu | NaNiHCF,Weibull,28,96.59603769,97.88351763
Shu | NaNiHCF,Wiener,42,92.66949385,93.67468003
Shu | NaNiHCF,Weibull,42,92.66949385,94.39434678
Shu | NaNiHCF,Wiener,56,87.06590231,88.84537258
Shu | NaNiHCF,Weibull,56,87.06590231,89.40615662
Shu | NaNiHCF,Wiener,70,82.69223077,83.99790627
Shu | NaNiHCF,Weibull,70,82.69223077,83.65374384
Shu | NaNiHCF,Wiener,78,80.03723615,81.20831875
Shu | NaNiHCF,Weibull,78,80.03723615,80.18297039
