trajectory,method,cycle,actual_retention,pred_retention
Hu pH 7 | NaCoHCF,SPI+TBU,96,50.790982,47.372869
Hu pH 7 | NaCoHCF,SPI+TBU,100,48.101418,48.19741957
Hu pH 7 | NaCoHCF,Lin,12,85.157618,64.90157767
Hu pH 7 | NaCoHCF,Lin,24,59.1475,87.3424159
Hu pH 7 | NaCoHCF,Lin,36,55.788772,66.15170311
Hu pH 7 | NaCoHCF,Lin,48,56.594054,48.6564529
Hu pH 7 | NaCoHCF,Lin,60,52.96377,41.56013433
Hu pH 7 | NaCoHCF,Lin,72,50.240604,38.7824979
Hu pH 7 | NaCoHCF,Lin,84,49.485958,36.66031831
Hu pH 7 | NaCoHCF,Lin,96,50.790982,35.54046413
Hu pH 7 | NaCoHCF,Lin,100,48.101418,38.81658027
Hu pH 7 | NaCoHCF,Log-Bayes,12,85.157618,100.0315764
Hu pH 7 | NaCoHCF,Log-Bayes,24,59.1475,88.16420142
Hu pH 7 | NaCoHCF,Log-Bayes,36,55.788772,59.78416456
Hu pH 7 | NaCoHCF,Log-Bayes,48,56.594054,49.87121645
Hu pH 7 | NaCoHCF,Log-Bayes,60,52.96377,47.89447032
Hu pH 7 | NaCoHCF,Log-Bayes,72,50.240604,46.82887531
Hu pH 7 | NaCoHCF,Log-Bayes,84,49.485958,45.29614333
Hu pH 7 | NaCoHCF,Log-Bayes,96,50.790982,44.09851066
Hu pH 7 | NaCoHCF,Log-Bayes,100,48.101418,44.6747324
Hu pH 7 | NaFeHCF,SPI+CBU (ours),12,92.246562,66.12834151
Hu pH 7 | NaFeHCF,SPI+CBU (ours),24,82.76116,84.16940653
Hu pH 7 | NaFeHCF,SPI+CBU (ours),36,74.072994,77.49429262
Hu pH 7 | NaFeHCF,SPI+CBU (ours),48,67.546102,69.95549676
Hu pH 7 | NaFeHCF,SPI+CBU (ours),60,61.576614,63.13013261
Hu pH 7 | NaFeHCF,SPI+CBU (ours),72,54.436002,56.8426283
Hu pH 7 | NaFeHCF,SPI+CBU (ours),84,49.571528,50.31234983
Hu pH 7 | NaFeHCF,SPI+CBU (ours),96,46.060446,43.92685089
Hu pH 7 | NaFeHCF,SPI+CBU (ours),100,45.01873,44.0859609
Hu pH 7 | NaFeHCF,SPI+TBU,12,92.246562,66.12834151
Hu pH 7 | NaFeHCF,SPI+TBU,24,82.76116,87.23561652
Hu pH 7 | NaFeHCF,SPI+TBU,36,74.072994,80.02031439
Hu pH 7 | NaFeHCF,SPI+TBU,48,67.546102,71.48901847
Hu pH 7 | NaFeHCF,SPI+TBU,60,61.576614,63.0595805
Hu pH 7 | NaFeHCF,SPI+TBU,72,54.436002,56.07469026
Hu pH 7 | NaFeHCF,SPI+TBU,84,49.571528,49.22732565
Hu pH 7 | NaFeHCF,SPI+TBU,96,46.060446,42.96985951
Hu pH 7 | NaFeHCF,SPI+TBU,100,45.01873,42.09428138
Hu pH 7 | NaFeHCF,Lin,12,92.246562,64.63060425
Hu pH 7 | NaFeHCF,Lin,24,82.76116,88.77199953
Hu pH 7 | NaFeHCF,Lin,36,74.072994,81.34708602
Hu pH 7 | NaFeHCF,Lin,48,67.546102,71.88142713
Hu pH 7 | NaFeHCF,Lin,60,61.576614,62.53473428
Hu pH 7 | NaFeHCF,Lin,72,54.436002,54.8130653
Hu pH 7 | NaFeHCF,Lin,84,49.571528,47.63475103
Hu pH 7 | NaFeHCF,Lin,96,46.060446,41.09132918
Hu pH 7 | NaFeHCF,Lin,100,45.01873,40.29479026
Hu pH 7 | NaFeHCF,Log-Bayes,12,92.246562,95.10300031
Hu pH 7 | NaFeHCF,Log-Bayes,24,82.76116,90.44552039
Hu pH 7 | NaFeHCF,Log-Bayes,36,74.072994,83.0221266
Hu pH 7 | NaFeHCF,Log-Bayes,48,67.546102,75.95780384
Hu pH 7 | NaFeHCF,Log-Bayes,60,61.576614,69.73376499
Hu pH 7 | NaFeHCF,Log-Bayes,72,54.436002,64.57015996
Hu pH 7 | NaFeHCF,Log-Bayes,84,49.571528,59.42269738
Hu pH 7 | NaFeHCF,Log-Bayes,96,46.060446,54.5749354
Hu pH 7 | NaFeHCF,Log-Bayes,100,45.01873,51.75679724
Hu pH 7 | NaMnHCF,SPI+CBU (ours),12,91.761044,66.10277889
Hu pH 7 | NaMnHCF,SPI+CBU (ours),24,85.76167,89.38794982
Hu pH 7 | NaMnHCF,SPI+CBU (ours),36,82.131118,83.41898736
Hu pH 7 | NaMnHCF,SPI+CBU (ours),48,81.089834,79.73885339
Hu pH 7 | NaMnHCF,SPI+CBU (ours),60,78.365836,76.85423685
Hu pH 7 | NaMnHCF,SPI+CBU (ours),72,75.098414,74.44217347
Hu pH 7 | NaMnHCF,SPI+CBU (ours),84,72.173018,71.69324312
Hu pH 7 | NaMnHCF,SPI+CBU (ours),96,69.369404,69.17925133
Hu pH 7 | NaMnHCF,SPI+CBU (ours),100,68.294272,68.75253927
Hu pH 7 | NaMnHCF,SPI+TBU,12,91.761044,66.10277889
Hu pH 7 | NaMnHCF,SPI+TBU,24,85.76167,87.02137014
Hu pH 7 | NaMnHCF,SPI+TBU,36,82.131118,81.28111193
Hu pH 7 | NaMnHCF,SPI+TBU,48,81.089834,77.98217808
Hu pH 7 | NaMnHCF,SPI+TBU,60,78.365836,76.25885854
Hu pH 7 | NaMnHCF,SPI+TBU,72,75.098414,75.62777959
Hu pH 7 | NaMnHCF,SPI+TBU,84,72.173018,72.75664744
Hu pH 7 | NaMnHCF,SPI+TBU,96,69.369404,70.30174788
Hu pH 7 | NaMnHCF,SPI+TBU,100,68.294272,69.16259238
Hu pH 7 | NaMnHCF,Lin,12,91.761044,64.60482095
Hu pH 7 | NaMnHCF,Lin,24,85.76167,88.84193591
Hu pH 7 | NaMnHCF,Lin,36,82.131118,82.14026898
Hu pH 7 | NaMnHCF,Lin,48,81.089834,77.03379222
Hu pH 7 | NaMnHCF,Lin,60,78.365836,73.90333867
Hu pH 7 | NaMnHCF,Lin,72,75.098414,72.33459031
Hu pH 7 | NaMnHCF,Lin,84,72.173018,69.567932
Hu pH 7 | NaMnHCF,Lin,96,69.369404,67.19640934
Hu pH 7 | NaMnHCF,Lin,100,68.294272,66.91540937
Hu pH 7 | NaMnHCF,Log-Bayes,12,91.761044,96.69388018
Hu pH 7 | NaMnHCF,Log-Bayes,24,85.76167,90.2541061
Hu pH 7 | NaMnHCF,Log-Bayes,36,82.131118,84.39132438
Hu pH 7 | NaMnHCF,Log-Bayes,48,81.089834,81.48253783
Hu pH 7 | NaMnHCF,Log-Bayes,60,78.365836,79.48105975
Hu pH 7 | NaMnHCF,Log-Bayes,72,75.098414,78.16074976
Hu pH 7 | NaMnHCF,Log-Bayes,84,72.173018,75.96602164
Hu pH 7 | NaMnHCF,Log-Bayes,96,69.369404,73.98323476
Hu pH 7 | NaMnHCF,Log-Bayes,100,68.294272,72.63539042
Hu pH 7 | NaNiHCF,SPI+CBU (ours),12,76.51083,66.33981944
Hu pH 7 | NaNiHCF,SPI+CBU (ours),24,70.094678,75.36958197
Hu pH 7 | NaNiHCF,SPI+CBU (ours),36,68.75333,68.60695247
Hu pH 7 | NaNiHCF,SPI+CBU (ours),48,66.61169,65.89973456
Hu pH 7 | NaNiHCF,SPI+CBU (ours),60,65.362674,64.01574816
Hu pH 7 | NaNiHCF,SPI+CBU (ours),72,64.114248,62.42021247
Hu pH 7 | NaNiHCF,SPI+CBU (ours),84,62.247166,61.09338443
Hu pH 7 | NaNiHCF,SPI+CBU (ours),96,60.59303,59.91136199
Hu pH 7 | NaNiHCF,SPI+CBU (ours),100,60.065576,60.08594111
