material,threshold,replicate,method,cycle,true_RUL,pred_RUL,RUL_lo_cal90,RUL_hi_cal90
KCoHCF,87.0,1,SPI+CBU (ours),2366.0,1698.0965377175808,1820.470793546228,1503.6147146183953,2137.32687247406
KCoHCF,87.0,1,SPI+CBU (ours),2535.0,1529.0965377175808,1721.566248420655,1369.8304632732677,2073.3020335680426
KCoHCF,87.0,1,SPI+CBU (ours),2704.0,1360.0965377175808,1588.052867054159,1271.1967881263267,1904.908945981991
KCoHCF,87.0,1,SPI+CBU (ours),2873.0,1191.0965377175808,1419.052867054159,1074.3394719499074,1763.7662621584104
KCoHCF,87.0,1,SPI+CBU (ours),3042.0,1022.0965377175808,1250.052867054159,905.3394719499076,1594.7662621584104
KCoHCF,87.0,1,SPI+CBU (ours),3211.0,853.0965377175808,1081.052867054159,736.3394719499075,1425.7662621584104
KCoHCF,87.0,1,SPI+CBU (ours),3380.0,684.0965377175808,876.566248420655,531.8528533164036,1221.2796435249063
KCoHCF,87.0,1,SPI+CBU (ours),3549.0,515.0965377175808,672.3730325342849,327.6596374300335,1017.0864276385364
KCoHCF,87.0,1,SPI+CBU (ours),3718.0,346.0965377175808,503.3730325342849,186.51695360645283,820.229111462117
KCoHCF,87.0,1,SPI+CBU (ours),3887.0,177.09653771758076,369.56624842065503,52.71016949282296,686.4223273484871
KCoHCF,87.0,1,SPI+CBU (ours),4056.0,8.096537717580759,165.3730325342849,0.0,472.5596641327478
KCoHCF,87.0,1,SPI+CBU (ours),4064.0,0.0965377175807589,192.56624842065503,0.0,499.7528800191179
KCoHCF,87.0,1,SPI+TBU,169.0,3895.0965377175808,3376.96751454281,,
KCoHCF,87.0,1,SPI+TBU,338.0,3726.0965377175808,3178.649516658562,,
KCoHCF,87.0,1,SPI+TBU,507.0,3557.0965377175808,3009.649516658562,,
KCoHCF,87.0,1,SPI+TBU,676.0,3388.0965377175808,2811.573919472125,,
KCoHCF,87.0,1,SPI+TBU,845.0,3219.0965377175808,2585.14192710403,,
KCoHCF,87.0,1,SPI+TBU,1014.0,3050.0965377175808,2169.179278794056,,
KCoHCF,87.0,1,SPI+TBU,1183.0,2881.0965377175808,1548.0,,
KCoHCF,87.0,1,SPI+TBU,1352.0,2712.0965377175808,880.0,,
KCoHCF,87.0,1,SPI+TBU,1521.0,2543.0965377175808,486.0,,
KCoHCF,87.0,1,SPI+TBU,1690.0,2374.0965377175808,268.0,,
KCoHCF,87.0,1,SPI+TBU,1859.0,2205.0965377175808,163.0,,
KCoHCF,87.0,1,SPI+TBU,2028.0,2036.0965377175808,107.0,,
KCoHCF,87.0,1,SPI+TBU,2197.0,1867.0965377175808,79.0,,
KCoHCF,87.0,1,SPI+TBU,2366.0,1698.0965377175808,72.0,,
KCoHCF,87.0,1,SPI+TBU,2535.0,1529.0965377175808,78.0,,
