trajectory,electrolyte,electrode,method,cycle,actual_retention,true_RUL,pred_RUL,RUL_lo90,RUL_hi90,pred_retention,retention_lo,retention_hi,RUL_lo_cal90,RUL_hi_cal90
Shu | NaFeHCF,Shu,NaFeHCF,Lin,48,39.232648,52,23.69238849,14.97274852,35.00214815,54.13600012,28.21543389,80.05656635,,
Shu | NaFeHCF,Shu,NaFeHCF,Lin,60,31.772368,40,8.659333403,2.972748516,16.82642004,33.82146956,8.025046842,59.61789228,,
Shu | NaFeHCF,Shu,NaFeHCF,Lin,72,26.872868,28,0,0,4.826420044,18.733654,-6.895377241,44.36268524,,
Shu | NaFeHCF,Shu,NaFeHCF,Lin,84,24.421506,16,0,0,0,8.906106755,-16.56689053,34.37910404,,
Shu | NaFeHCF,Shu,NaFeHCF,Lin,96,22.947456,4,0,0,0,2.936346183,-22.40777079,28.28046316,,
Shu | NaFeHCF,Shu,NaFeHCF,Lin,100,22.496256,0,0,0,0,6.289957157,-18.81868443,31.39859874,,
Shu | NaFeHCF,Shu,NaFeHCF,Log-Bayes,12,94.207374,88,inf,,,91.91408791,87.2121809,95.87503541,,
Shu | NaFeHCF,Shu,NaFeHCF,Log-Bayes,24,68.07879,76,1430.249036,769.3040237,1925.891331,95.36681475,93.21437698,96.9975083,,
Shu | NaFeHCF,Shu,NaFeHCF,Log-Bayes,36,50.5788,64,262.2918509,152.6295666,520.9760531,75.49737241,70.12724674,80.8518557,,
Shu | NaFeHCF,Shu,NaFeHCF,Log-Bayes,48,39.232648,52,101.6463387,69.5573746,154.7200953,56.60006516,51.261641,61.76735358,,
Shu | NaFeHCF,Shu,NaFeHCF,Log-Bayes,60,31.772368,40,53.63185102,38.06104226,74.7916394,43.7818585,39.31632316,48.31331198,,
Shu | NaFeHCF,Shu,NaFeHCF,Log-Bayes,72,26.872868,28,28.63792278,18.67668441,40.93881635,34.31406034,30.49289411,38.24148044,,
Shu | NaFeHCF,Shu,NaFeHCF,Log-Bayes,84,24.421506,16,11.76855717,4.560577247,20.66408495,27.42699697,24.06188959,30.75350778,,
Shu | NaFeHCF,Shu,NaFeHCF,Log-Bayes,96,22.947456,4,0,-6,6.221856115,22.45419889,19.72747224,25.24770344,,
Shu | NaFeHCF,Shu,NaFeHCF,Log-Bayes,100,22.496256,0,-4,-9,2.222677336,21.14152567,18.83205582,23.43628398,,
Shu | NaMnHCF,Shu,NaMnHCF,SPI+CBU (ours),12,33.185236,88,93,68,118,67.00185289,20.77374844,113.2299573,49.63228039,136.3677196
Shu | NaMnHCF,Shu,NaMnHCF,SPI+CBU (ours),24,30.38253,76,81,56,106,5.425636623,-22.13133139,32.98260464,37.63228039,124.3677196
Shu | NaMnHCF,Shu,NaMnHCF,SPI+CBU (ours),36,30.72332,64,69,44,94,25.11556028,-9.690359005,59.92147956,25.63228039,112.3677196
Shu | NaMnHCF,Shu,NaMnHCF,SPI+CBU (ours),48,31.31549,52,57,32,82,35.1220397,-13.63407691,83.8781563,13.63228039,100.3677196
Shu | NaMnHCF,Shu,NaMnHCF,SPI+CBU (ours),60,31.209466,40,35,35,35,35.25087159,-18.29748447,88.79922764,34.99999827,35.00000173
Shu | NaMnHCF,Shu,NaMnHCF,SPI+CBU (ours),72,30.376064,28,14.04531899,9.295926919,34.6462781,31.08188486,9.5127178,52.65105192,0,36.03305742
Shu | NaMnHCF,Shu,NaMnHCF,SPI+CBU (ours),84,30.144126,16,9.727826019,1,34.1,30.47882775,18.49846053,42.45919498,0,38.4372564
