material,replicate,cycle,pred_retention,ci_lo,ci_hi
KCoHCF,1,10955.80767254572,85.1686103473044,85.09986012267892,85.23736057192987
KCoHCF,1,11016.05589289889,85.15823614148616,85.08935009022127,85.22712219275104
KCoHCF,1,11076.635430500817,85.14786193050378,85.0788394621837,85.21688439882386
KCoHCF,1,11137.548107332586,85.13748771438547,85.06832824208728,85.20664718668367
KCoHCF,1,11198.795755394754,85.12711349315936,85.05781643344037,85.19641055287835
KCoHCF,1,11260.380216762416,85.11673926685333,85.0473040397383,85.18617449396837
KCoHCF,1,11322.30334364062,85.10636503549517,85.0367910644633,85.17593900652705
KCoHCF,1,11384.566998420063,85.09599079911254,85.02627751108436,85.16570408714072
KCoHCF,1,11447.173053733088,85.08561655773288,85.01576338305692,85.15546973240883
KCoHCF,1,11510.123392510091,85.07524231138352,85.00524868382297,85.14523593894407
KCoHCF,1,11573.419908036021,85.06486806009164,84.99473341681066,85.13500270337262
KCoHCF,1,11637.064504007407,85.05449380388427,84.98421758543437,85.12477002233418
KCoHCF,1,11701.059094589596,85.04411954278828,84.9737011930944,85.11453789248216
KCoHCF,1,11765.405604474317,85.03374527683042,84.96318424317703,85.1043063104838
KCoHCF,1,11830.105968937576,85.02337100603725,84.95266673905418,85.09407527302032
KCoHCF,1,11895.162133897851,85.01299673043523,84.9421486840835,85.08384477678696
KCoHCF,1,11960.576055974601,85.00262245005067,84.93163008160818,85.07361481849316
KCoHCF,1,12026.34970254721,84.99224816490967,84.92111093495669,85.06338539486265
KCoHCF,1,12092.485051814003,84.98187387503827,84.91059124744298,85.05315650263357
KCoHCF,1,12158.984092851852,84.97149958046235,84.90007102236612,85.04292813855858
KCoHCF,1,12225.848825675963,84.96112528120761,84.88955026301032,85.03270029940491
KCoHCF,1,12293.081261300036,84.95075097729966,84.87902897264485,85.02247298195448
KCoHCF,1,12360.683421796719,84.94037666876395,84.8685071545239,85.012246183004
KCoHCF,1,12428.65734035853,84.93000235562573,84.85798481188647,85.002019899365
KCoHCF,1,12497.005061358845,84.91962803791023,84.84746194795645,84.99179412786401
KCoHCF,1,12565.728640413492,84.90925371564245,84.83693856594235,84.98156886534255
KCoHCF,1,12634.830144442556,84.89887938884728,84.82641466903733,84.97134410865722
KCoHCF,1,12704.31165173253,84.8885050575495,84.81589026041918,84.96111985467981
KCoHCF,1,12774.175251998833,84.8781307217737,84.80536534325014,84.95089610029726
KCoHCF,1,12844.423046448652,84.86775638154438,84.7948399206769,84.94067284241186
KCoHCF,1,12915.057147844116,84.85738203688592,84.78431399583062,84.93045007794123
KCoHCF,1,12986.079680565941,84.84700768782251,84.77378757182669,84.92022780381834
KCoHCF,1,13057.492780677168,84.83663333437823,84.76326065176487,84.9100060169916
KCoHCF,1,13129.298595987513,84.82625897657707,84.75273323872916,84.89978471442497
KCoHCF,1,13201.49928611793,84.81588461444282,84.74220533578776,84.88956389309789
KCoHCF,1,13274.097022565575,84.8055102479992,84.73167694599304,84.87934355000534
KCoHCF,1,13347.093988769106,84.79513587726976,84.72114807238154,84.86912368215798
KCoHCF,1,13420.492380174328,84.78476150227795,84.71061871797384,84.85890428658205
