material,threshold,replicate,method,life,band_lo,band_hi,cycle,actual,true_RUL,pred_RUL,pred_retention,RUL_lo_cal90,RUL_hi_cal90
KCoHCF,90.0,1,Lin,1367.5,1208.4,1389.2,228.0,98.47204389272726,1139.4597537274692,1079.5,98.12770113417837,,
KCoHCF,90.0,1,Lin,1367.5,1208.4,1389.2,285.0,98.39312995363638,1082.4597537274692,1120.0,97.839266827137,,
KCoHCF,90.0,1,Lin,1367.5,1208.4,1389.2,342.0,98.07300677727272,1025.4597537274692,1199.0,97.60449543971605,,
KCoHCF,90.0,1,Lin,1367.5,1208.4,1389.2,399.0,97.54485612272724,968.4597537274692,1266.0,97.41628694573278,,
KCoHCF,90.0,1,Lin,1367.5,1208.4,1389.2,456.0,97.04506017,911.4597537274692,1146.0,97.21751702211752,,
KCoHCF,90.0,1,Lin,1367.5,1208.4,1389.2,513.0,96.59127901090908,854.4597537274692,1053.0,96.79059007969047,,
KCoHCF,90.0,1,Lin,1367.5,1208.4,1389.2,570.0,96.56071154545454,797.4597537274692,1028.5,96.38993919970062,,
KCoHCF,90.0,1,Lin,1367.5,1208.4,1389.2,627.0,96.20228496545457,740.4597537274692,1033.0,96.06928672164416,,
KCoHCF,90.0,1,Lin,1367.5,1208.4,1389.2,684.0,96.13880242909092,683.4597537274692,1039.0,95.8183966714275,,
KCoHCF,90.0,1,Lin,1367.5,1208.4,1389.2,741.0,95.78585691,626.4597537274692,1034.0,95.59163164200744,,
KCoHCF,90.0,1,Lin,1367.5,1208.4,1389.2,798.0,95.32307399727272,569.4597537274692,1018.0,95.36217973733868,,
KCoHCF,90.0,1,Lin,1367.5,1208.4,1389.2,855.0,94.78559540818182,512.4597537274692,878.5,95.10788549935342,,
KCoHCF,90.0,1,Lin,1367.5,1208.4,1389.2,912.0,94.35167760090908,455.4597537274692,781.0,94.6523638203187,,
KCoHCF,90.0,1,Lin,1367.5,1208.4,1389.2,969.0,94.04657512454546,398.4597537274692,687.0,94.24868545730736,,
KCoHCF,90.0,1,Lin,1367.5,1208.4,1389.2,1026.0,93.46200091,341.4597537274692,595.0,93.81762549770453,,
KCoHCF,90.0,1,Lin,1367.5,1208.4,1389.2,1083.0,92.80994333363635,284.4597537274692,445.0,93.38055480101836,,
KCoHCF,90.0,1,Lin,1367.5,1208.4,1389.2,1140.0,92.5538053018182,227.4597537274692,389.0,92.70812004065638,,
KCoHCF,90.0,1,Lin,1367.5,1208.4,1389.2,1197.0,91.41794848545454,170.4597537274692,265.0,92.31112986658265,,
KCoHCF,90.0,1,Lin,1367.5,1208.4,1389.2,1254.0,90.87398984636364,113.4597537274692,148.0,91.5950118205462,,
KCoHCF,90.0,1,Lin,1367.5,1208.4,1389.2,1311.0,90.70826439272729,56.459753727469206,80.0,90.77054478894615,,
KCoHCF,90.0,1,Lin,1367.5,1208.4,1389.2,1367.0,90.00467499909091,0.4597537274692058,14.0,90.19860541630132,,
KCoHCF,90.0,2,SPI+CBU (ours),1208.4,1208.4,1389.2,50.0,99.48620487454544,1158.4244643893228,1294.0,99.18764104052784,1126.9278940631157,1461.0721059368843
KCoHCF,90.0,2,SPI+CBU (ours),1208.4,1208.4,1389.2,100.0,98.6106233118182,1108.4244643893228,1276.0,99.46109816101352,1108.9278940631157,1443.0721059368843
KCoHCF,90.0,2,SPI+CBU (ours),1208.4,1208.4,1389.2,150.0,97.82791241454548,1058.4244643893228,1232.0,98.77722090028166,1116.0476578057785,1347.9523421942215
KCoHCF,90.0,2,SPI+CBU (ours),1208.4,1208.4,1389.2,200.0,96.76834831272728,1008.4244643893228,1182.0,98.02055090889206,1014.9278940631156,1349.0721059368843
